Symbol	CellType	Source	index	duplicated	prior
CD2	Tcells_gamma_delta	LM22	522	2	0
CD2	Tcells_helper	LM22	399	2	0
CD2	Tcells_reg	LM22	455	1	0
CD209	DC_resting	LM22	874	1	0
CD209	Macrophages_M2	LM22	832	1	0
CD209	DC	Danaher	1848	1	0
CD22	B_cells_memory	LM22	71	1	1
CD22	B_cells_naive	LM22	12	2	1
CD22	Bcells	Tirosh	1189	1	1
CD244	Eosinophils	LM22	1036	1	1
CD244	NK_activated	LM22	637	2	1
CD244	NK_resting	LM22	581	2	1
CD244	Tcells_gamma_delta	LM22	523	1	1
CD244	CD8_Exhausted	Danaher	1850	1	0
CD247	CD4_memory_act_Tcells	LM22	358	1	0
CD247	CD4_memory_rest_Tcells	LM22	296	2	0
CD247	CD4_naive_Tcells	LM22	246	2	0
CD247	CD8_Tcells	LM22	175	2	0
CD247	NK_activated	LM22	638	2	0
CD247	NK_resting	LM22	582	2	0
CD247	Tcells	Tirosh	1151	2	1
CD247	Tcells_gamma_delta	LM22	524	2	0
CD247	Tcells_helper	LM22	400	2	0
CD247	Tcells_reg	LM22	456	1	0
CD248	CAFs	Tirosh	1411	0	1
CD27	B_cells_memory	LM22	72	1	0
CD27	CD4_memory_rest_Tcells	LM22	297	2	0
CD27	CD4_naive_Tcells	LM22	247	2	0
CD27	CD8_Tcells	LM22	176	2	0
CD27	Plasma_cells	LM22	129	2	0
CD27	Tcells	S3_Schelker	1732	2	0
CD27	Tcells_helper	LM22	401	2	0
CD27	Tcells_reg	LM22	457	2	0
CD27	Tregs	Tirosh	1525	1	0
CD28	CD4_memory_act_Tcells	LM22	359	1	0
CD28	CD4_memory_rest_Tcells	LM22	298	2	0
CD28	Tcells	Tirosh	1175	2	1
CD28	Tcells	S3_Schelker	1733	2	1
CD28	Tcells_reg	LM22	458	1	0
CD300A	Tcells_gamma_delta	LM22	525	0	1
CD300E	Macrophages	Tirosh	1233	0	1
CD33	Blast_cells_activated	LM22	997	1	0
CD33	Blast_cells_rest	LM22	960	2	0
CD33	DC_resting	LM22	875	2	0
CD33	Monocytes	LM22	700	1	0
CD34	Endothelial_cells	Tirosh	1366	0	1
CD37	B_cells_memory	LM22	73	1	1
CD37	B_cells_naive	LM22	13	2	1
CD37	Bcells	Tirosh	1209	1	1
CD38	Macrophages_M1	LM22	787	1	1
CD38	Plasma_cells	LM22	130	1	1
CD3D	CD4_memory_act_Tcells	LM22	360	1	0
CD3D	CD4_memory_rest_Tcells	LM22	299	2	0
CD3D	CD4_naive_Tcells	LM22	248	2	0
CD3D	CD8_Tcells	LM22	177	2	0
CD3D	NK_Tcells	Ramin	1801	2	1
CD3D	Tcells	Tirosh	1142	2	1
CD3D	Tcells	S3_Schelker	1729	2	1
CD3D	Tcells_gamma_delta	LM22	526	2	0
CD3D	Tcells_helper	LM22	402	2	0
CD3D	Tcells_reg	LM22	459	1	0
CD3D	Tcells	Danaher	1877	1	0
CD3E	CD4_memory_rest_Tcells	LM22	300	1	0
CD3E	CD8_Tcells	LM22	178	2	0
CD3E	NK_Tcells	Ramin	1801	2	1
CD3E	Tcells	Tirosh	1143	2	1
CD3E	Tcells	S3_Schelker	1730	2	1
CD3E	Tcells_reg	LM22	460	1	0
CD3E	Tcells	Danaher	1878	1	0
CD3G	CD4_memory_act_Tcells	LM22	361	1	0
CD3G	CD4_memory_rest_Tcells	LM22	301	2	0
CD3G	CD4_naive_Tcells	LM22	249	2	0
CD3G	CD8_Tcells	LM22	179	2	0
CD3G	Tcells	Tirosh	1144	2	1
CD3G	Tcells	S3_Schelker	1731	2	1
CD3G	Tcells_gamma_delta	LM22	527	2	0
CD3G	Tcells_helper	LM22	403	2	0
CD3G	Tcells_reg	LM22	461	1	0
CD3G	Tcells	Danaher	1879	1	0
CD4	CD4_memory_rest_Tcells	LM22	302	1	1
CD4	CD4_Tcells	S3_Schelker	1734	2	1
CD4	Macrophages_M2	LM22	833	2	1
CD4	Tcells_reg	LM22	462	2	1
CD4	Tregs	S3_Schelker	1737	1	1
CD40	Macrophages_M1	LM22	788	0	1
CD40LG	CD4_memory_act_Tcells	LM22	362	1	1
CD40LG	CD4_memory_rest_Tcells	LM22	303	2	1
CD40LG	CD4_naive_Tcells	LM22	250	2	1
CD40LG	Tcells_helper	LM22	404	1	1
CD5	Tcells_reg	LM22	463	0	1
CD58	Tregs	Tirosh	1653	0	1
CD6	CD4_memory_act_Tcells	LM22	363	1	0
CD6	CD4_memory_rest_Tcells	LM22	304	2	0
CD6	CD8_Tcells	LM22	180	2	0
CD6	Tcells	Tirosh	1164	2	1
CD6	Tcells_reg	LM22	464	1	0
CD6	Tcells	Danaher	1880	1	0
CD68	DC_resting	LM22	876	1	0
CD68	Macrophage	Ramin	1801	2	1
CD68	Macrophages	Tirosh	1252	2	1
CD68	Macrophages_M0	LM22	752	2	0
CD68	Macrophages_M2	LM22	834	2	0
CD68	Macrophages_Monocyte	S3_Schelker	1747	2	0
CD68	Monocytes	LM22	701	1	1
CD68	Macrophages	Danaher	1855	1	0
CD69	B_cells_memory	LM22	74	1	0
CD69	B_cells_naive	LM22	14	2	0
CD69	CD4_memory_rest_Tcells	LM22	305	2	0
CD69	CD8_Tcells	LM22	181	2	0
CD69	NK_activated	LM22	639	2	0
CD69	NK_Tcells	Ramin	1798	2	0
CD69	Tcells_helper	LM22	405	1	0
CD7	CD4_memory_act_Tcells	LM22	364	1	0
CD7	CD4_memory_rest_Tcells	LM22	306	2	0
CD7	CD4_naive_Tcells	LM22	251	2	0
CD7	CD8_Tcells	LM22	182	2	0
CD7	NK	Ramin	1801	2	0
CD7	NK_activated	LM22	640	2	0
CD7	NK_resting	LM22	583	2	0
CD7	Tcells	Tirosh	1158	2	1
CD7	Tcells_helper	LM22	406	2	0
CD7	Tregs	Tirosh	1574	1	1
CD70	Tcells_reg	LM22	465	0	1
CD72	B_cells_memory	LM22	75	1	1
CD72	B_cells_naive	LM22	15	1	1
CD74	Tregs	Tirosh	1531	0	1
CD79A	B_cells_memory	LM22	76	1	1
CD79A	B_cells_naive	LM22	16	2	1
CD79A	Bcells	Tirosh	1180	2	1
CD79A	Bcells	S3_Schelker	1743	2	1
CD79A	Plasma_cells	LM22	131	1	0
CD79B	B_cells_memory	LM22	77	1	1
CD79B	B_cells_naive	LM22	17	2	1
CD79B	Bcells	Tirosh	1181	2	1
CD79B	Bcells	S3_Schelker	1744	2	1
CD79B	Tregs	Tirosh	1655	1	1
CD80	DC_activated	LM22	915	0	1
CD84	Macrophages	Danaher	1856	0	1
CD86	DC_activated	LM22	916	1	0
CD86	Macrophages	Tirosh	1294	1	0
CD8A	CD8_Tcells	LM22	183	1	1
CD8A	CD8_Tcells	S3_Schelker	1736	2	1
CD8A	Tcells	Tirosh	1145	2	1
CD8A	Tcells_gamma_delta	LM22	528	1	1
CD8A	CD8_Tcells	Danaher	1835	1	0
CD8B	CD8_Tcells	LM22	184	1	1
CD8B	CD8_Tcells	S3_Schelker	1735	2	1
CD8B	Tcells_gamma_delta	LM22	529	1	1
CD8B	CD8_Tcells	Danaher	1836	1	0
CD9	Endothelial_cells	Tirosh	1382	0	1
CD96	CD4_memory_rest_Tcells	LM22	307	1	0
CD96	CD8_Tcells	LM22	185	2	0
CD96	NK_activated	LM22	641	2	0
CD96	NK_resting	LM22	584	2	0
CD96	Tcells	Tirosh	1166	2	1
CD96	Tcells_reg	LM22	466	1	0
CDA	Monocytes	LM22	702	1	1
CDA	Neutrophils	LM22	1089	1	1
CDC25A	CD4_memory_act_Tcells	LM22	365	0	1
CDH12	Tcells_gamma_delta	LM22	530	0	1
CDH5	Endothelial_cells	Tirosh	1304	1	1
CDH5	Endothelial_cells	S3_Schelker	1763	1	1
CDHR1	NK_resting	LM22	585	0	1
CDK6	NK_activated	LM22	642	0	1
CDKN1B	Tregs	Tirosh	1666	0	1
CEACAM3	Neutrophils	LM22	1090	0	1
CEACAM3	Neutrophils	Danaher	1865	1	0
CEACAM8	Blast_cells_rest	LM22	961	1	1
CEACAM8	NK_resting	LM22	586	1	1
CEMP1	Tcells_reg	LM22	467	0	1
CFP	Macrophages_M2	LM22	835	1	0
CFP	Monocytes	LM22	703	2	0
CFP	Neutrophils	LM22	1091	1	0
CHI3L1	Macrophages_M0	LM22	753	1	1
CHI3L1	Macrophages_M1	LM22	789	2	1
CHI3L1	Macrophages_M2	LM22	836	2	1
CHI3L1	Neutrophils	LM22	1092	1	1
CHI3L2	Tcells_helper	LM22	407	0	1
CHST15	Monocytes	LM22	704	1	1
CHST15	Neutrophils	LM22	1093	1	1
CHST7	DC_activated	LM22	917	0	1
CKAP4	CAFs	Tirosh	1466	0	1
CLC	Blast_cells_activated	LM22	998	1	1
CLC	Blast_cells_rest	LM22	962	2	1
CLC	Eosinophils	LM22	1037	2	1
CLC	Neutrophils	LM22	1094	1	1
CLCA3P	B_cells_memory	LM22	78	0	1
CLDN11	CAFs	Tirosh	1446	0	1
CLDN5	Endothelial_cells	Tirosh	1305	0	1
CLEC10A	DC_resting	LM22	877	1	0
CLEC10A	Macrophages_M2	LM22	837	1	0
CLEC17A	Bcells	Tirosh	1188	0	1
CLEC2D	Tcells_reg	LM22	468	0	1
CLEC4A	DC_resting	LM22	878	1	0
CLEC4A	Macrophages	Tirosh	1272	2	0
CLEC4A	Macrophages_M2	LM22	838	2	0
CLEC4A	Monocytes	LM22	705	1	0
CLEC4C	DC	S3_Schelker	1752	0	1
CLEC7A	DC_resting	LM22	879	1	0
CLEC7A	Macrophages	Tirosh	1275	2	0
CLEC7A	Monocytes	LM22	706	1	0
CLIC1	Tregs	Tirosh	1529	0	1
CLIC2	DC_activated	LM22	918	1	0
CLIC2	DC_resting	LM22	880	2	0
CLIC2	Macrophages_M1	LM22	790	2	0
CLIC2	Macrophages_M2	LM22	839	1	0
CLTA4	Tregs	Ramin	1801	0	1
CMA1	Blast_cells_activated	LM22	999	1	0
CMA1	Blast_cells_rest	LM22	963	1	0
CMC2	Tregs	Tirosh	1625	0	1
CMTM7	Tregs	Tirosh	1699	0	1
COL14A1	CAFs	Tirosh	1415	0	1
COL1A1	CAFs	Tirosh	1400	1	1
COL1A1	CAFs	S3_Schelker	1767	1	1
COL1A2	CAFs	Tirosh	1401	0	1
COL3A1	CAFs	Tirosh	1407	1	1
COL3A1	CAFs	S3_Schelker	1768	1	1
COL4A1	Endothelial_cells	Tirosh	1370	0	1
COL5A2	CAFs	Tirosh	1449	0	1
COL6A1	CAFs	Tirosh	1402	0	1
COL6A2	CAFs	Tirosh	1403	0	1
COL8A2	Macrophages_M0	LM22	754	0	1
COLQ	Tcells_gamma_delta	LM22	531	0	1
COX17	Tregs	Tirosh	1510	0	1
COX5A	Tregs	Tirosh	1544	0	1
COX6B1	Tregs	Tirosh	1595	0	1
COX7A2L	Tregs	Tirosh	1701	0	1
CPA3	Blast_cells_activated	LM22	1000	1	1
CPA3	Blast_cells_rest	LM22	964	1	1
CPA3	Mast_cells	Danaher	1860	1	0
CPE	CAFs	Tirosh	1439	0	1
